cleaned_text,sentimen,text_without_stopwords,test_nltk,tokens
masalah keluarga todoroki kompleks pahlawan nomor dua tetapi pelaku kekerasan anak sulung buronan istri sakit mental anak bungsu pikul harapan orang tua kakak natsu dan fuyu berusaha tetap waras dan memperbaiki keadaan,negatif,masalah keluarga todoroki kompleks pahlawan nomor pelaku kekerasan anak sulung buronan istri sakit mental anak bungsu pikul harapan orang tua kakak natsu fuyu berusaha tetap waras memperbaiki keadaan,keluarga todoroki kompleks pahlawan nomor pelaku kekerasan anak sulung buronan istri sakit mental anak bungsu pikul harapan orang tua kakak natsu fuyu berusaha waras memperbaiki,"['masalah', 'keluarga', 'todoroki', 'kompleks', 'pahlawan', 'nomor', 'pelaku', 'kekerasan', 'anak', 'sulung', 'buronan', 'istri', 'sakit', 'mental', 'anak', 'bungsu', 'pikul', 'harapan', 'orang', 'tua', 'kakak', 'natsu', 'fuyu', 'berusaha', 'tetap', 'waras', 'memperbaiki', 'keadaan']"
yaelah kak istri kena kdrt sampai meninggal saja yang disalahin istrinya kok bayangkan sudah jadi mayat saja yang salah tetap istrinya ada mikir tidak anaknya jadi piatu tiba dan trauma seumur hidup tidak ada makanya orang indonesia nih bukan pro life tetapi pro coli moral si paling suci saja,negatif,yaelah kak istri kena kdrt meninggal disalahin istrinya kok bayangkan mayat salah tetap istrinya mikir anaknya piatu tiba trauma seumur hidup ada makanya orang indonesia nih bukan pro life pro coli moral si paling suci,yaelah kak istri kena kdrt meninggal disalahin istrinya bayangkan mayat salah istrinya mikir anaknya piatu trauma seumur hidup orang indonesia nih pro life pro coli moral si suci,"['yaelah', 'kak', 'istri', 'kena', 'kdrt', 'meninggal', 'disalahin', 'istrinya', 'kok', 'bayangkan', 'mayat', 'salah', 'tetap', 'istrinya', 'mikir', 'anaknya', 'piatu', 'tiba', 'trauma', 'seumur', 'hidup', 'ada', 'makanya', 'orang', 'indonesia', 'nih', 'bukan', 'pro', 'life', 'pro', 'coli', 'moral', 'si', 'paling', 'suci']"
saya takut kak takut kdrt takut selingkuh tetapi yang pasti sih tidak ada yang mau sama saya,negatif,takut kak takut kdrt takut selingkuh sih ada mau sama,takut kak takut kdrt takut selingkuh sih,"['takut', 'kak', 'takut', 'kdrt', 'takut', 'selingkuh', 'sih', 'ada', 'mau', 'sama']"
di penjara mayoritas pelaku laki baca berita di sosmed pelaku kriminal pemerkosaan pembunuhan maling terkena kdrt dan tindak kejahatan lainnya biasanya dilakukan laki entah mengapa banyak yang tidak sadar bahkan menormalisasinya,negatif,penjara mayoritas pelaku laki baca berita sosmed pelaku kriminal pemerkosaan pembunuhan maling terkena kdrt tindak kejahatan lainnya biasanya dilakukan laki entah banyak sadar menormalisasinya,penjara mayoritas pelaku laki baca berita sosmed pelaku kriminal pemerkosaan pembunuhan maling terkena kdrt tindak kejahatan laki sadar menormalisasinya,"['penjara', 'mayoritas', 'pelaku', 'laki', 'baca', 'berita', 'sosmed', 'pelaku', 'kriminal', 'pemerkosaan', 'pembunuhan', 'maling', 'terkena', 'kdrt', 'tindak', 'kejahatan', 'lainnya', 'biasanya', 'dilakukan', 'laki', 'entah', 'banyak', 'sadar', 'menormalisasinya']"
gatau ini cocoklogi atau bukan tetangga saya agus mengesalkan banget dari kecil ngebuly saya mulu prkara saya pndek dan kecil padahal muka dia burik banget njir ky beruk om saya juga agus lagi tukang kdrt istri sama anaknya dia mana pngangguran hobi main burung dara doang demi apa agus semua,negatif,gatau cocoklogi bukan tetangga agus mengesalkan banget kecil ngebuly mulu prkara pndek kecil padahal muka burik banget njir ky beruk om agus tukang kdrt istri sama anaknya mana pngangguran hobi main burung dara doang apa agus,gatau cocoklogi tetangga agus mengesalkan banget ngebuly mulu prkara pndek muka burik banget njir ky beruk om agus tukang kdrt istri anaknya pngangguran hobi main burung dara doang agus,"['gatau', 'cocoklogi', 'bukan', 'tetangga', 'agus', 'mengesalkan', 'banget', 'kecil', 'ngebuly', 'mulu', 'prkara', 'pndek', 'kecil', 'padahal', 'muka', 'burik', 'banget', 'njir', 'ky', 'beruk', 'om', 'agus', 'tukang', 'kdrt', 'istri', 'sama', 'anaknya', 'mana', 'pngangguran', 'hobi', 'main', 'burung', 'dara', 'doang', 'apa', 'agus']"
mau berbicara banget selain ngerendahin orang saya tu paling tidak suka ya ceramah yang isinya candaan seksime becandaan berbau seksual body shaming ngerendahin perempuan saya sangat jijik penceramah yang menyalahkan istri korban kdrt dan perselingkuhan anak korban kekerasan orang tua,negatif,mau berbicara banget ngerendahin orang tu paling suka ceramah isinya candaan seksime becandaan berbau seksual body shaming ngerendahin perempuan sangat jijik penceramah menyalahkan istri korban kdrt perselingkuhan anak korban kekerasan orang tua,berbicara banget ngerendahin orang tu suka ceramah isinya candaan seksime becandaan berbau seksual body shaming ngerendahin perempuan jijik penceramah menyalahkan istri korban kdrt perselingkuhan anak korban kekerasan orang tua,"['mau', 'berbicara', 'banget', 'ngerendahin', 'orang', 'tu', 'paling', 'suka', 'ceramah', 'isinya', 'candaan', 'seksime', 'becandaan', 'berbau', 'seksual', 'body', 'shaming', 'ngerendahin', 'perempuan', 'sangat', 'jijik', 'penceramah', 'menyalahkan', 'istri', 'korban', 'kdrt', 'perselingkuhan', 'anak', 'korban', 'kekerasan', 'orang', 'tua']"
jadi giniada teman cewek yang seringkali posting dan story wa romantis ama pasangannya seolah ingin menunjukkan bahwa dia adalah wanita yang bahagia dan beruntung kalau saya sih langsung tahuini pasti nutupin kdrt eh iya benaran kejadian,negatif,giniada teman cewek seringkali posting story wa romantis ama pasangannya ingin menunjukkan wanita bahagia beruntung sih langsung tahuini nutupin kdrt eh iya benaran kejadian,giniada teman cewek seringkali posting story wa romantis ama pasangannya wanita bahagia beruntung sih langsung tahuini nutupin kdrt eh iya benaran kejadian,"['giniada', 'teman', 'cewek', 'seringkali', 'posting', 'story', 'wa', 'romantis', 'ama', 'pasangannya', 'ingin', 'menunjukkan', 'wanita', 'bahagia', 'beruntung', 'sih', 'langsung', 'tahuini', 'nutupin', 'kdrt', 'eh', 'iya', 'benaran', 'kejadian']"
baru mengalam kdrt pertama dia lagi fokus dengan hape suasana hening dan saya mendekat diam diam ndusel sambil nyanyi meow meow meow meow what was i made for billie eilish doi kaget dan saya digeplak untung saya sayang,negatif,baru mengalam kdrt pertama fokus hape suasana hening mendekat diam diam ndusel nyanyi meow meow meow meow what was i made for billie eilish doi kaget digeplak untung sayang,mengalam kdrt fokus hape suasana hening mendekat diam diam ndusel nyanyi meow meow meow meow what was i made for billie eilish doi kaget digeplak untung sayang,"['baru', 'mengalam', 'kdrt', 'pertama', 'fokus', 'hape', 'suasana', 'hening', 'mendekat', 'diam', 'diam', 'ndusel', 'nyanyi', 'meow', 'meow', 'meow', 'meow', 'what', 'was', 'i', 'made', 'for', 'billie', 'eilish', 'doi', 'kaget', 'digeplak', 'untung', 'sayang']"
betul bang memang sudah saatnya di indonesia khususnya orang pada takut menikah especially women karena mereka tidak aman kasihan kalau harus terjebal lelaki pengguna narkoba kdrt atau judol sudah banyak kasus soalnya,negatif,betul bang saatnya indonesia khususnya orang takut menikah especially women aman kasihan terjebal lelaki pengguna narkoba kdrt judol banyak kasus soalnya,bang indonesia orang takut menikah especially women aman kasihan terjebal lelaki pengguna narkoba kdrt judol,"['betul', 'bang', 'saatnya', 'indonesia', 'khususnya', 'orang', 'takut', 'menikah', 'especially', 'women', 'aman', 'kasihan', 'terjebal', 'lelaki', 'pengguna', 'narkoba', 'kdrt', 'judol', 'banyak', 'kasus', 'soalnya']"
njir yang komen solusinya nikah lagi hanya gara gara si suami tidak bisa nahan nafsu tidak heran kemiskinan dan kdrt merajalela selangkangan mulu isi otaknya,negatif,njir komen solusinya nikah gara gara si suami nahan nafsu heran kemiskinan kdrt merajalela selangkangan mulu isi otaknya,njir komen solusinya nikah gara gara si suami nahan nafsu heran kemiskinan kdrt merajalela selangkangan mulu isi otaknya,"['njir', 'komen', 'solusinya', 'nikah', 'gara', 'gara', 'si', 'suami', 'nahan', 'nafsu', 'heran', 'kemiskinan', 'kdrt', 'merajalela', 'selangkangan', 'mulu', 'isi', 'otaknya']"
iya setidaknya dicoba dulu kan belum tahu belum dicoba kan bisa beda responsnya kalau masih tidak mempan baru cari solusi lain bukan langsung yauda yauda saja tiati kalau merembet tidak sadar kdrt sebelum terlambat,positif,iya dicoba dulu kan tahu dicoba kan beda responsnya mempan baru cari solusi bukan langsung yauda yauda tiati merembet sadar kdrt terlambat,iya dicoba dicoba beda responsnya mempan cari solusi langsung yauda yauda tiati merembet sadar kdrt terlambat,"['iya', 'dicoba', 'dulu', 'kan', 'tahu', 'dicoba', 'kan', 'beda', 'responsnya', 'mempan', 'baru', 'cari', 'solusi', 'bukan', 'langsung', 'yauda', 'yauda', 'tiati', 'merembet', 'sadar', 'kdrt', 'terlambat']"
saya cowok prinsip laki laki itu kalau ingin diminta baik baik bila kemudian sudah tidak ingin apapun alasanya kembalikan dengan baik baik tidak perlu gaplok kdrt tangan yang menghidupi bukan tangan yang pantas buat mencelakai,positif,cowok prinsip laki laki diminta baik baik bila kemudian apapun alasanya kembalikan baik baik perlu gaplok kdrt tangan menghidupi bukan tangan pantas buat mencelakai,cowok prinsip laki laki apapun alasanya kembalikan gaplok kdrt tangan menghidupi tangan mencelakai,"['cowok', 'prinsip', 'laki', 'laki', 'diminta', 'baik', 'baik', 'bila', 'kemudian', 'apapun', 'alasanya', 'kembalikan', 'baik', 'baik', 'perlu', 'gaplok', 'kdrt', 'tangan', 'menghidupi', 'bukan', 'tangan', 'pantas', 'buat', 'mencelakai']"
nanti mampusss dibanting tahu rasa bertahan kok sama orang kdrt tolol memang yaaa,negatif,mampusss dibanting tahu rasa bertahan kok sama orang kdrt tolol yaaa,mampusss dibanting bertahan orang kdrt tolol yaaa,"['mampusss', 'dibanting', 'tahu', 'rasa', 'bertahan', 'kok', 'sama', 'orang', 'kdrt', 'tolol', 'yaaa']"
untuk sampai mukul itu banyak tahapannya dan kalaupun harus mukul tidak boleh menyakitkan apalagi sampai mencederai para laki tolol yang mau normalize kdrt smbil bawa ayat allah swt u pada tobat deh tidak baik bgitu,negatif,mukul banyak tahapannya kalaupun mukul boleh menyakitkan mencederai laki tolol mau normalize kdrt smbil bawa ayat allah swt u tobat baik bgitu,mukul tahapannya mukul menyakitkan mencederai laki tolol normalize kdrt smbil bawa ayat allah swt u tobat bgitu,"['mukul', 'banyak', 'tahapannya', 'kalaupun', 'mukul', 'boleh', 'menyakitkan', 'mencederai', 'laki', 'tolol', 'mau', 'normalize', 'kdrt', 'smbil', 'bawa', 'ayat', 'allah', 'swt', 'u', 'tobat', 'baik', 'bgitu']"
selingkuh kdrt tetapi saya sendiri suka mukul suamiku,negatif,selingkuh kdrt sendiri suka mukul suamiku,selingkuh kdrt suka mukul suamiku,"['selingkuh', 'kdrt', 'sendiri', 'suka', 'mukul', 'suamiku']"
keplakin dan saya pernah pukul pelaku kdrt dikosan meski akhirnya dia manggil saudara temannya yang polisi tetapi yang punya kos mantan hakim agung bela saya lalu dianya diusir dari kos an,negatif,keplakin pernah pukul pelaku kdrt dikosan meski akhirnya manggil saudara temannya polisi punya kos mantan hakim agung bela lalu dianya diusir kos an,keplakin pelaku kdrt dikosan manggil saudara temannya polisi kos mantan hakim agung bela dianya diusir kos an,"['keplakin', 'pernah', 'pukul', 'pelaku', 'kdrt', 'dikosan', 'meski', 'akhirnya', 'manggil', 'saudara', 'temannya', 'polisi', 'punya', 'kos', 'mantan', 'hakim', 'agung', 'bela', 'lalu', 'dianya', 'diusir', 'kos', 'an']"
menurutku salah urusan rumah tangga harusnya dikeep berdua kecuali keadaan urgent misal kamu kena kdrt atau sejenisnya yang benar butuh pertolongan kalaupun mau cerita lebih baik ke orang yang netral dan bijak untuk memberikan solusi contoh guru atau orang yang dituakan,positif,menurutku salah urusan rumah tangga harusnya dikeep berdua keadaan urgent misal kena kdrt sejenisnya benar butuh pertolongan kalaupun mau cerita lebih baik orang netral bijak memberikan solusi contoh guru orang dituakan,menurutku salah urusan rumah tangga dikeep berdua kecuali urgent kena kdrt sejenisnya butuh pertolongan cerita orang netral bijak solusi contoh guru orang dituakan,"['menurutku', 'salah', 'urusan', 'rumah', 'tangga', 'harusnya', 'dikeep', 'berdua', 'keadaan', 'urgent', 'misal', 'kena', 'kdrt', 'sejenisnya', 'benar', 'butuh', 'pertolongan', 'kalaupun', 'mau', 'cerita', 'lebih', 'baik', 'orang', 'netral', 'bijak', 'memberikan', 'solusi', 'contoh', 'guru', 'orang', 'dituakan']"
iyaa benar sudah tua begini baru rasa penyesalan nya mengapa dulu tidak ngejar cita saja mengapa dulu tidak berani bilang nanti saja nikah nya tetapi brsyukur nya suami baik tidak ada kdrt cuman yang benar saya juga baru paham ternyata silent treatment yang selama ini saya alami komunikasi lancar tetapi tiap berantem tidak pernah ngomong,positif,iyaa benar tua begini baru rasa penyesalan nya dulu ngejar cita mengapa dulu berani bilang nikah nya brsyukur nya suami baik ada kdrt cuman benar baru paham ternyata silent treatment selama alami komunikasi lancar berantem pernah ngomong,iyaa tua penyesalan nya ngejar cita berani bilang nikah nya brsyukur nya suami kdrt cuman paham silent treatment alami komunikasi lancar berantem ngomong,"['iyaa', 'benar', 'tua', 'begini', 'baru', 'rasa', 'penyesalan', 'nya', 'dulu', 'ngejar', 'cita', 'mengapa', 'dulu', 'berani', 'bilang', 'nikah', 'nya', 'brsyukur', 'nya', 'suami', 'baik', 'ada', 'kdrt', 'cuman', 'benar', 'baru', 'paham', 'ternyata', 'silent', 'treatment', 'selama', 'alami', 'komunikasi', 'lancar', 'berantem', 'pernah', 'ngomong']"
coba sekali lihat orang yang kehidupannya lebih baik setelah nikah rezekinya tambah dititipin ank lucu punya pacar halal bisa ibadah dan menua sama dunia pernikahan ini isinya tidak cuma selingkuh sama kdrt doang kok syaratnya nikah sama orang yang tepat,positif,coba sekali lihat orang kehidupannya lebih baik nikah rezekinya tambah dititipin ank lucu punya pacar halal ibadah menua sama dunia pernikahan isinya cuma selingkuh sama kdrt doang kok syaratnya nikah sama orang tepat,coba lihat orang kehidupannya nikah rezekinya dititipin ank lucu pacar halal ibadah menua dunia pernikahan isinya selingkuh kdrt doang syaratnya nikah orang,"['coba', 'sekali', 'lihat', 'orang', 'kehidupannya', 'lebih', 'baik', 'nikah', 'rezekinya', 'tambah', 'dititipin', 'ank', 'lucu', 'punya', 'pacar', 'halal', 'ibadah', 'menua', 'sama', 'dunia', 'pernikahan', 'isinya', 'cuma', 'selingkuh', 'sama', 'kdrt', 'doang', 'kok', 'syaratnya', 'nikah', 'sama', 'orang', 'tepat']"
kdrt hubungan toksik tidak usah diperpanjang anda berhak dapat yang lebih baik jalan masih panjang,positif,kdrt hubungan toksik usah diperpanjang berhak lebih baik jalan panjang,kdrt hubungan toksik diperpanjang berhak jalan,"['kdrt', 'hubungan', 'toksik', 'usah', 'diperpanjang', 'berhak', 'lebih', 'baik', 'jalan', 'panjang']"
ada dosen universitas negri di bandung yang kdrt ke istrinya tetapi malah di bela kampusnya dan tetap di pekerjakan sebagai dosen mau di spill tetapi bagaimana ya ktanya keluarga kelakuan nya kaya bajingan,negatif,dosen universitas negri bandung kdrt istrinya bela kampusnya tetap pekerjakan dosen mau spill bagaimana ktanya keluarga kelakuan nya kaya bajingan,dosen universitas negri bandung kdrt istrinya bela kampusnya pekerjakan dosen spill ktanya keluarga kelakuan nya kaya bajingan,"['dosen', 'universitas', 'negri', 'bandung', 'kdrt', 'istrinya', 'bela', 'kampusnya', 'tetap', 'pekerjakan', 'dosen', 'mau', 'spill', 'bagaimana', 'ktanya', 'keluarga', 'kelakuan', 'nya', 'kaya', 'bajingan']"
iya kan padahal cewek lebih sulit cari kerja dibatasi tidak boleh hamil coba saja cek loker begitu sering dilecehkan rentan kdrt tetapi suicide lebih kecil memang cowok saja egonya tinggi giliran mati salahin cewek,negatif,iya kan padahal cewek lebih sulit cari kerja dibatasi boleh hamil coba cek loker sering dilecehkan rentan kdrt suicide lebih kecil cowok egonya tinggi giliran mati salahin cewek,iya cewek sulit cari kerja dibatasi hamil coba cek loker dilecehkan rentan kdrt suicide cowok egonya giliran mati salahin cewek,"['iya', 'kan', 'padahal', 'cewek', 'lebih', 'sulit', 'cari', 'kerja', 'dibatasi', 'boleh', 'hamil', 'coba', 'cek', 'loker', 'sering', 'dilecehkan', 'rentan', 'kdrt', 'suicide', 'lebih', 'kecil', 'cowok', 'egonya', 'tinggi', 'giliran', 'mati', 'salahin', 'cewek']"
takut nemu yang salah tkut gabecus jadi istri financial blom stabil msih banyak belajar tkut kdrt tkut cerai masa muda msih panjang bahagiain orangtua sama diri sendiri dlu mental saya blom stabil msih banyak hal yang ditakutin dan harus dijalanin,negatif,takut nemu salah tkut gabecus istri financial blom stabil msih banyak belajar tkut kdrt tkut cerai masa muda msih panjang bahagiain orangtua sama diri sendiri dlu mental blom stabil msih banyak ditakutin dijalanin,takut nemu salah tkut gabecus istri financial blom stabil msih belajar tkut kdrt tkut cerai muda msih bahagiain orangtua dlu mental blom stabil msih ditakutin dijalanin,"['takut', 'nemu', 'salah', 'tkut', 'gabecus', 'istri', 'financial', 'blom', 'stabil', 'msih', 'banyak', 'belajar', 'tkut', 'kdrt', 'tkut', 'cerai', 'masa', 'muda', 'msih', 'panjang', 'bahagiain', 'orangtua', 'sama', 'diri', 'sendiri', 'dlu', 'mental', 'blom', 'stabil', 'msih', 'banyak', 'ditakutin', 'dijalanin']"
